0.37883;-0.01779;0.00
0.38528;-0.01777;0.00
0.38529;-0.00987;0.00
0.37889;-0.00987;0.00
0.37122;-0.01932;0.00
0.37672;-0.02885;0.00
0.3871;-0.02878;0.00
0.39273;-0.01931;0.00
0.39276;-0.00824;0.00
0.38717;0.00113;0.00
0.37689;0.00114;0.00
0.37131;-0.00824;0.00
0.36545;-0.01927;0.00
0.36878;-0.02974;0.00
0.37639;-0.03752;0.00
0.38702;-0.03736;0.00
0.39472;-0.02964;0.00
0.39831;-0.01926;0.00
0.39836;-0.00829;0.00
0.39484;0.00205;0.00
0.38717;0.00969;0.00
0.3766;0.00976;0.00
0.36898;0.00208;0.00
0.36553;-0.00829;0.00
0.35969;-0.01926;0.00
0.36208;-0.02999;0.00
0.36732;-0.03964;0.00
0.37606;-0.04613;0.00
0.38684;-0.04591;0.00
0.39559;-0.03939;0.00
0.40115;-0.02992;0.00
0.40384;-0.01926;0.00
0.40389;-0.00829;0.00
0.4013;0.00233;0.00
0.39579;0.01175;0.00
0.38704;0.01815;0.00
0.37632;0.01827;0.00
0.36759;0.01187;0.00
0.36226;0.00235;0.00
0.35976;-0.00829;0.00
0.3539;-0.01926;0.00
0.35576;-0.03009;0.00
0.35976;-0.04032;0.00
0.36628;-0.04913;0.00
0.37571;-0.0546;0.00
0.38655;-0.05433;0.00
0.39592;-0.04871;0.00
0.40271;-0.04009;0.00
0.4071;-0.03002;0.00
0.40928;-0.01925;0.00
0.40933;-0.00829;0.00
0.40727;0.00244;0.00
0.40295;0.01247;0.00
0.39618;0.02101;0.00
0.38681;0.0265;0.00
0.37602;0.02668;0.00
0.36663;0.02127;0.00
0.36004;0.01258;0.00
0.35594;0.00246;0.00
0.35398;-0.00829;0.00
0.34805;-0.01926;0.00
0.34957;-0.03017;0.00
0.35277;-0.04071;0.00
0.35793;-0.05042;0.00
0.36542;-0.05845;0.00
0.37529;-0.06315;0.00
0.38619;-0.06282;0.00
0.39595;-0.05784;0.00
0.40362;-0.04997;0.00
0.40921;-0.04049;0.00
0.41288;-0.03011;0.00
0.41472;-0.01926;0.00
0.41478;-0.00828;0.00
0.41306;0.00253;0.00
0.40949;0.01287;0.00
0.40394;0.02229;0.00
0.39627;0.03007;0.00
0.38651;0.03489;0.00
0.37566;0.03512;0.00
0.36582;0.03048;0.00
0.3583;0.02257;0.00
0.35306;0.01297;0.00
0.34974;0.00254;0.00
0.34812;-0.00828;0.00
0.34212;-0.01928;0.00
0.34339;-0.03025;0.00
